"Temperature variable","Precipitation variable","model","formula","7-day Diarrhea","Adenovirus 40/41","Norovirus","Sapovirus","Any Virus","Cryptosporidium","E. bieneusi","Giardia","Any Parasite","Aeromonas","B. fragilis","Campylobacter","C. difficile","Plesiomonas","Shigella/EIEC","EAEC","EPEC","ETEC","STEC"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_75","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_75 + temp_monthavg_2weeklag_C*ppt_week_sum_2weeklag_75","3715.13","715.56","1320.83","1044.31","1961.34","1060.22","940.25","1126.58","1963.02","635.68","1595.01","2276.59","873.26","1221.22","1153.26","2702.41","2393.70","2067.05","999.23"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_90","temp + ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_90","3711.32","718.43","1327.40","1040.30"," NA","1055.29","936.18","1123.77","1956.47","636.60"," NA"," NA","870.05"," NA","1149.45","2698.11","2391.36"," NA","995.89"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_90 + temp_monthavg_2weeklag_C*ppt_week_sum_2weeklag_90","3715.32","722.15","1330.44","1044.30"," NA","1059.45","940.18","1127.77","1960.45","640.25"," NA"," NA","874.05"," NA","1153.45","2702.10","2395.36"," NA","998.78"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_median","temp + ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_median","3711.28","718.06","1330.89","1044.01","1957.41","1053.29","936.22","1117.29","1959.17","631.11","1591.09","2274.21","870.28","1217.25","1149.49","2698.27","2390.50","2063.25","996.30"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_median","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_median + temp_monthavg_2weeklag_C*ppt_week_sum_2weeklag_median","3715.28","711.91","1334.48","1040.93","1961.41","1057.29","940.22","1121.29","1963.17","635.11","1595.09","2278.21","874.28","1221.25","1148.81","2702.27","2394.50","2067.25","1000.30"
"temp_monthavg_3weeklag_C","   NA","temp + A","Y ~ temp_monthavg_3weeklag_C","3715.06","715.60","1331.38","1041.54","1955.27","1054.28","934.12","1119.56","1957.17","643.04","1589.12","2272.31","874.29","1215.25","1143.56","2696.04","2395.07","2056.32","995.91"
"temp_monthavg_3weeklag_C","   heavyrain_3weeklag","temp + ppt + A","Y ~ temp_monthavg_3weeklag_C + heavyrain_3weeklag","3717.00","717.83","1325.93","1042.30","1956.29","1046.84","936.04","1120.86","1958.66","644.07","1591.10","2268.58","869.65","1227.50","1145.07","2697.77","2391.30","2058.32","996.71"
"temp_monthavg_3weeklag_C","   heavyrain_3weeklag","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_3weeklag_C + heavyrain_3weeklag + temp_monthavg_3weeklag_C*heavyrain_3weeklag","3731.02","721.84","1329.33","1046.30","1963.10","1050.84","940.04","1124.86","1962.66","643.15","1590.09","2272.58","873.65","1231.50","1149.07","2701.77","2395.14","2062.32","997.47"
"temp_monthavg_3weeklag_C","   heavyrain_3weeklag_90","temp + ppt + A","Y ~ temp_monthavg_3weeklag_C + heavyrain_3weeklag_90","3716.08","717.81","1329.89","1043.53","1954.48","1056.28","936.08","1119.15","1959.13","644.95","1584.43"," NA","870.15"," NA","1144.94","2697.14","2391.77"," NA","997.91"
"temp_monthavg_3weeklag_C","   heavyrain_3weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_3weeklag_C + heavyrain_3weeklag_90 + temp_monthavg_3weeklag_C*heavyrain_3weeklag_90","3720.08","720.07","1333.89","1047.53","1958.48","1060.28","940.08","1123.15","1963.13","649.23","1588.43"," NA","874.15"," NA","1148.94","2701.14","2395.75"," NA","1000.78"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_75","temp + ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_75","3716.98","716.64","1329.92","1042.91","1957.12","1056.18","935.63","1120.48","1959.17","644.34","1591.07","2270.12","870.12","1228.91","1145.09","2696.96","2391.77","2057.94","997.82"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_75","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_75 + temp_monthavg_3weeklag_C*ppt_week_sum_3weeklag_75","3720.98","720.63","1333.92","1046.91","1961.12","1060.18","938.05","1124.48","1963.17","647.84","1590.07","2274.12","874.12","1221.15","1149.09","2700.85","2395.65","2061.94","999.28"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_90","temp + ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_90","3714.96","716.13","1327.39","1043.36","1956.02","1054.57","935.81","1120.70","1957.16","645.01","1582.26"," NA","870.14"," NA","1144.70","2697.89","2390.89"," NA","997.77"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_90 + temp_monthavg_3weeklag_C*ppt_week_sum_3weeklag_90","3718.96","720.13","1331.39","1047.76","1963.30","1058.57","939.81","1121.76","1961.16","648.90","1586.26"," NA","874.12"," NA","1148.70","2701.78","2394.89"," NA","1000.99"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_median","temp + ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_median","3716.78","715.76","1320.21","1043.24","1953.55","1047.66","935.50","1120.25","1956.72","644.96","1584.92","2267.98","869.87","1215.87","1145.49","2697.04","2391.47","2058.07","993.51"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_median","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_median + temp_monthavg_3weeklag_C*ppt_week_sum_3weeklag_median","3720.73","719.77","1324.21","1048.59","1957.55","1051.66","939.50","1124.25","1960.72","648.96","1588.92","2271.98","873.87","1219.87","1147.90","2701.04","2395.47","2062.07","996.65"
